route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
21,KES_AR_2019_K42,5964724941,Tesoma,0,21041,1157135631533,0
21,KES_AR_2019_K42,5964424941,Turtola,1,21041,1157215323563,0
21,KES_AR_2019_K42,5964104941,Tesoma,0,21041,1157135631533,0
21,KES_AR_2019_K42,5964474941,Turtola,1,21041,1157215323563,0
21,KES_AR_2019_K42,5964634941,Tesoma,0,21041,1157135631533,0
21,KES_AR_2019_K42,5964844941,Turtola,1,21041,1157215323563,0
21,KES_AR_2019_K42,5964854941,Tesoma,0,21041,1157135631533,0
21,KES_AR_2019_K42,5964564941,Turtola,1,21041,1157215323563,0
21,KES_AR_2019_K42,5964244941,Tesoma,0,21041,1157135631533,0
21,KES_AR_2019_K42,5964604941,Turtola,1,21041,1157215323563,0
21,KES_AR_2019_K42,5964284941,Keskustori L,1,21051,1157215320002,0
21,KES_AR_2019_K42,5964884941,Turtola,1,21051,1157200023563,0
21,KES_AR_2019_K42,5963944941,Tesoma,0,21051,1157135631533,0
21,KES_AR_2019_K42,5964314941,Turtola,1,21051,1157215323563,0
21,KES_AR_2019_K42,5963994941,Tesoma,0,21051,1157135631533,0
21,KES_AR_2019_K42,5964754941,Turtola,1,21051,1157215323563,0
21,KES_AR_2019_K42,5964714941,Tesoma,0,21051,1157135631533,0
21,KES_AR_2019_K42,5964404941,Turtola,1,21051,1157215323563,0
21,KES_AR_2019_K42,5964084941,Tesoma,0,21051,1157135631533,0
21,KES_AR_2019_K42,5964454941,Turtola,1,21051,1157215323563,0
21,KES_AR_2019_K42,5964624941,Tesoma,0,21051,1157135631533,0
21,KES_AR_2019_K42,5964824941,Turtola,1,21051,1157215323563,0
21,KES_AR_2019_K42,5964174941,Tesoma,0,21051,1157135631533,0
21,KES_AR_2019_K42,5964544941,Turtola,1,21051,1157215323563,0
21,KES_AR_2019_K42,5964224941,Tesoma,0,21051,1157135631533,0
21,KES_AR_2019_K42,5964584941,Turtola,1,21051,1157215323563,0
21,KES_AR_2019_K42,5964264941,Tesoma,0,21051,1157135631533,0
21,KES_AR_2019_K42,5964684941,Tesoma,0,21061,1157135631533,0
21,KES_AR_2019_K42,5964344941,Turtola,1,21061,1157215323563,0
21,KES_AR_2019_K42,5964024941,Tesoma,0,21061,1157135631533,0
21,KES_AR_2019_K42,5964394941,Turtola,1,21061,1157215323563,0
21,KES_AR_2019_K42,5964074941,Tesoma,0,21061,1157135631533,0
21,KES_AR_2019_K42,5964794941,Turtola,1,21061,1157215323563,0
21,KES_AR_2019_K42,5964114941,Tesoma,0,21061,1157135631533,0
21,KES_AR_2019_K42,5964484941,Turtola,1,21061,1157215323563,0
21,KES_AR_2019_K42,5964164941,Tesoma,0,21061,1157135631533,0
21,KES_AR_2019_K42,5964534941,Turtola,1,21061,1157215323563,0
21,KES_AR_2019_K42,5964214941,Tesoma,0,21061,1157135631533,0
21,KES_AR_2019_K42,5964324941,Turtola,1,21071,1157215323563,0
21,KES_AR_2019_K42,5964004941,Tesoma,0,21071,1157135631533,0
21,KES_AR_2019_K42,5964374941,Turtola,1,21071,1157215323563,0
21,KES_AR_2019_K42,5964054941,Tesoma,0,21071,1157135631533,0
21,KES_AR_2019_K42,5964784941,Turtola,1,21071,1157215323563,0
21,KES_AR_2019_K42,5964744941,Tesoma,0,21071,1157135631533,0
21,KES_AR_2019_K42,5964464941,Turtola,1,21071,1157215323563,0
21,KES_AR_2019_K42,5964144941,Tesoma,0,21071,1157135631533,0
21,KES_AR_2019_K42,5964514941,Turtola,1,21071,1157215323563,0
65,KES_AR_2019_K43,5813194942,Hermia,1,65011,1443285283633,0
65,KES_AR_2019_K43,5813324942,Nokia,0,65011,1443136338528,0
65,KES_AR_2019_K43,5813214942,Hermia,1,65011,1443285283633,0
65,KES_AR_2019_K43,5813234942,Nokia,0,65011,1443136338528,0
65,KES_AR_2019_K43,5813344942,Hermia,1,65011,1443285283633,0
65,KES_AR_2019_K43,5813254942,Nokia,0,65011,1443136338528,0
65,KES_AR_2019_K43,5813354942,Hermia,1,65011,1443285283633,0
65,KES_AR_2019_K43,5813264942,Nokia,0,65011,1443136338528,0
65,KES_AR_2019_K43,5813374942,Hermia,1,65011,1443285283633,0
65,KES_AR_2019_K43,5813284942,Nokia,0,65011,1443136338528,0
65,KES_AR_2019_K43,5813394942,Hermia,1,65011,1443285283633,0
65,KES_AR_2019_K43,5813304942,Nokia,0,65011,1443136338528,0
65,KES_AR_2019_K43,5813204942,Hermia,1,65021,1443285283633,0
65,KES_AR_2019_K43,5813224942,Nokia,0,65021,1443136338528,0
65,KES_AR_2019_K43,5813334942,Hermia,1,65021,1443285283633,0
65,KES_AR_2019_K43,5813244942,Nokia,0,65021,1443136338528,0
65,KES_AR_2019_K43,5813414942,Hermia,1,65021,1443285283633,0
65,KES_AR_2019_K43,5813424942,Nokia,0,65021,1443136338528,0
